pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
BeforeVrpSchedule---RideSharePickup	104	152	16	1	0	0	0	0	0	0	0	0	0
RideShareDropoff---RideSharePickup	73	78	4	0	0	0	0	0	0	0	0	0	0
RideShareDropoff---home	39	62	6	0	0	0	0	0	0	0	0	0	0
RideShareDropoff---secondary	51	44	3	0	0	0	0	0	0	0	0	0	0
RideShareDropoff---work	109	70	2	0	0	0	0	0	0	0	0	0	0
RideSharePickup---RideShareDropoff	464	76	1	0	0	0	0	0	0	0	0	0	0
RideShareStay---RideSharePickup	2	4	0	0	0	0	0	0	0	0	0	0	0
RideShareStay---work	23	2	0	0	0	0	0	0	0	0	0	0	0
home---pt interaction	3	11	1	6	2	0	0	0	0	0	0	0	0
home---secondary	35	5	10	3	2	2	3	6	3	2	6	1	77
home---work	96	40	75	57	18	7	2	5	5	1	4	0	13
pt interaction---home	3	10	2	6	1	1	0	0	0	0	0	0	0
pt interaction---pt interaction	60	16	0	0	0	0	0	0	0	0	0	0	0
pt interaction---secondary	5	3	1	1	1	1	0	0	0	0	0	0	0
pt interaction---work	5	2	0	1	2	1	0	0	0	0	0	0	0
secondary---home	36	6	4	0	4	2	5	2	1	2	5	4	51
secondary---pt interaction	4	4	1	1	1	1	0	0	0	0	0	0	0
work---RideSharePickup	61	45	1	0	0	0	0	0	0	0	0	0	0
work---home	101	16	6	17	21	16	22	22	16	9	8	5	38
work---pt interaction	5	2	0	1	1	2	0	0	0	0	0	0	0

average trip duration: 1091.9093041438623 seconds = 00:18:11
